Frequency (Hz),FFT Magnitude (dB)
344.73,-71.516
345.70,-71.602
346.68,-71.434
347.66,-71.231
348.63,-70.258
349.61,-69.480
350.59,-71.002
351.56,-72.291
352.54,-70.244
353.52,-71.279
354.49,-70.756
355.47,-70.981
356.45,-70.472
357.42,-70.272
358.40,-70.317
359.38,-70.249
360.35,-69.927
361.33,-70.198
362.30,-70.421
363.28,-70.214
364.26,-69.418
365.23,-69.961
366.21,-69.600
367.19,-70.723
368.16,-70.784
369.14,-70.262
370.12,-70.776
371.09,-71.258
372.07,-71.306
373.05,-69.685
374.02,-70.169
375.00,-71.334
375.98,-70.786
376.95,-70.455
377.93,-69.771
378.91,-69.754
379.88,-70.947
380.86,-69.590
381.84,-69.901
382.81,-70.312
383.79,-69.732
384.77,-70.375
385.74,-69.233
386.72,-70.624
387.70,-69.785
388.67,-69.974
389.65,-69.750
390.62,-69.604
391.60,-70.861
392.58,-69.937
393.55,-69.536
394.53,-68.803
395.51,-68.624
396.48,-69.418
397.46,-67.923
398.44,-68.546
399.41,-67.643
400.39,-67.681
401.37,-68.282
402.34,-69.829
403.32,-69.772
404.30,-68.409
405.27,-68.337
406.25,-69.229
407.23,-67.932
408.20,-69.104
409.18,-68.884
410.16,-68.640
411.13,-69.822
412.11,-68.087
413.09,-68.971
414.06,-69.731
415.04,-67.841
416.02,-67.874
416.99,-68.104
417.97,-68.358
418.95,-68.578
419.92,-69.030
420.90,-68.852
421.88,-68.511
422.85,-68.242
423.83,-68.517
424.80,-69.826
425.78,-68.116
426.76,-66.549
427.73,-66.746
428.71,-68.268
429.69,-68.733
430.66,-67.772
431.64,-68.407
432.62,-67.796
433.59,-67.960
434.57,-65.761
435.55,-66.209
436.52,-66.529
437.50,-66.591
438.48,-66.533
439.45,-65.770
440.43,-66.229
441.41,-67.160
442.38,-66.369
443.36,-67.509
444.34,-67.682
445.31,-66.529
446.29,-66.719
447.27,-65.376
448.24,-66.211
449.22,-66.956
450.20,-66.404
451.17,-65.949
452.15,-65.349
453.12,-63.887
454.10,-65.936
455.08,-65.458
456.05,-65.269
457.03,-64.345
458.01,-63.843
458.98,-64.279
459.96,-64.269
460.94,-64.344
461.91,-64.082
462.89,-63.412
463.87,-62.579
464.84,-63.662
465.82,-63.332
466.80,-63.307
467.77,-62.653
468.75,-63.604
469.73,-62.881
470.70,-62.900
471.68,-63.018
472.66,-62.189
473.63,-62.687
474.61,-61.957
475.59,-62.708
476.56,-62.966
477.54,-62.162
478.52,-63.158
479.49,-62.124
480.47,-62.547
481.45,-61.116
482.42,-60.713
483.40,-62.283
484.38,-60.955
485.35,-60.963
486.33,-60.514
487.30,-60.373
488.28,-61.036
489.26,-60.971
490.23,-60.806
491.21,-61.203
492.19,-59.529
493.16,-60.455
494.14,-58.339
495.12,-58.859
496.09,-58.531
497.07,-59.341
498.05,-59.089
499.02,-59.389
500.00,-59.465
500.98,-59.369
501.95,-58.822
502.93,-58.784
503.91,-58.796
504.88,-58.695
505.86,-57.938
506.84,-57.668
507.81,-59.778
508.79,-59.825
509.77,-59.488
510.74,-58.971
511.72,-59.062
512.70,-58.790
513.67,-59.417
514.65,-58.612
515.62,-59.090
516.60,-59.338
517.58,-59.079
518.55,-60.177
519.53,-59.471
520.51,-59.196
521.48,-59.997
522.46,-59.575
523.44,-59.154
524.41,-58.043
525.39,-59.622
526.37,-60.735
527.34,-60.740
528.32,-59.774
529.30,-59.207
530.27,-60.242
531.25,-60.844
532.23,-59.723
533.20,-59.463
534.18,-62.229
535.16,-61.845
536.13,-61.010
537.11,-63.264
538.09,-62.578
539.06,-62.775
540.04,-61.649
541.02,-62.705
541.99,-61.830
542.97,-62.313
543.95,-62.549
544.92,-62.987
545.90,-62.650
546.88,-62.769
547.85,-63.326
548.83,-62.754
549.80,-63.272
550.78,-62.971
551.76,-63.590
552.73,-63.460
553.71,-63.786
554.69,-64.116
555.66,-63.796
556.64,-65.495
557.62,-64.139
558.59,-64.638
559.57,-64.856
560.55,-65.292
561.52,-64.458
562.50,-65.027
563.48,-65.153
564.45,-65.081
565.43,-65.532
566.41,-66.566
567.38,-65.574
568.36,-65.161
569.34,-65.288
570.31,-66.790
571.29,-65.809
572.27,-65.432
573.24,-65.113
574.22,-64.809
575.20,-66.018
576.17,-66.527
577.15,-66.604
578.12,-66.357
579.10,-67.229
580.08,-67.884
581.05,-68.006
582.03,-68.036
583.01,-67.743
583.98,-67.345
584.96,-66.904
585.94,-67.885
586.91,-67.674
587.89,-66.243
588.87,-67.883
589.84,-66.918
590.82,-67.583
591.80,-67.270
592.77,-68.158
593.75,-68.252
594.73,-69.071
595.70,-68.497
596.68,-67.911
597.66,-68.025
598.63,-67.995
599.61,-68.931
600.59,-68.324
601.56,-68.299
602.54,-68.557
603.52,-69.072
604.49,-69.305
605.47,-69.459
606.45,-68.726
607.42,-68.858
608.40,-68.667
609.38,-69.108
610.35,-69.619
611.33,-68.152
612.30,-69.104
613.28,-68.297
614.26,-69.436
615.23,-69.675
616.21,-69.408
617.19,-69.789
618.16,-68.989
619.14,-70.198
620.12,-70.554
621.09,-70.358
622.07,-70.816
623.05,-69.593
624.02,-68.773
625.00,-69.390
625.98,-70.226
626.95,-70.291
627.93,-68.996
628.91,-71.431
629.88,-70.856
630.86,-71.120
631.84,-70.337
632.81,-70.131
633.79,-70.545
634.77,-70.675
635.74,-70.920
636.72,-71.054
637.70,-70.713
638.67,-70.433
639.65,-70.897
640.62,-70.494
641.60,-70.775
642.58,-71.258
643.55,-70.515
644.53,-69.538
645.51,-70.408
646.48,-70.337
647.46,-70.219
648.44,-71.745
649.41,-70.757
650.39,-70.074
651.37,-70.216
652.34,-70.057
653.32,-71.982
654.30,-71.845
655.27,-72.473
656.25,-71.091
657.23,-71.531
658.20,-70.591
659.18,-71.948
660.16,-72.103
661.13,-70.935
662.11,-70.264
663.09,-71.659
664.06,-71.073
665.04,-71.884
666.02,-70.314
666.99,-70.126
667.97,-71.453
668.95,-70.778
669.92,-70.746
670.90,-70.329
671.88,-71.683
672.85,-73.478
673.83,-71.947
674.80,-72.036
675.78,-70.768
676.76,-70.912
677.73,-71.982
678.71,-71.302
679.69,-71.838
680.66,-72.015
681.64,-71.717
682.62,-73.020
683.59,-71.920
684.57,-71.374
685.55,-71.760
686.52,-70.942
687.50,-71.445
688.48,-71.348
689.45,-71.974
690.43,-72.708
691.41,-71.255
692.38,-70.764
693.36,-71.663
694.34,-72.413
695.31,-73.317
696.29,-72.694
697.27,-71.641
698.24,-71.662
699.22,-72.891
700.20,-72.759
701.17,-71.321
702.15,-71.517
703.12,-71.729
704.10,-72.104
705.08,-72.080
706.05,-72.273
707.03,-72.779
708.01,-72.106
708.98,-72.129
709.96,-72.381
710.94,-72.347
711.91,-72.157
712.89,-71.341
713.87,-73.053
714.84,-71.348
715.82,-72.106
716.80,-71.475
717.77,-70.603
718.75,-71.769
719.73,-71.578
720.70,-72.371
721.68,-72.125
722.66,-71.637
723.63,-72.891
724.61,-71.893
725.59,-72.160
726.56,-72.940
727.54,-71.526
728.52,-72.487
729.49,-71.948
730.47,-71.767
731.45,-72.316
732.42,-72.502
733.40,-71.193
734.38,-72.480
735.35,-72.127
736.33,-71.878
737.30,-72.130
738.28,-72.429
739.26,-72.109
740.23,-71.920
741.21,-70.077
742.19,-71.312
743.16,-72.300
744.14,-71.494
745.12,-71.673
746.09,-71.360
747.07,-70.939
748.05,-72.339
749.02,-70.707
750.00,-72.030
750.98,-71.991
751.95,-70.637
752.93,-71.054
753.91,-72.031
754.88,-71.672
755.86,-71.060
756.84,-72.188
757.81,-72.200
758.79,-72.851
759.77,-72.350
760.74,-70.742
761.72,-70.720
762.70,-70.896
763.67,-72.293
764.65,-70.819
765.62,-71.310
766.60,-71.410
767.58,-72.061
768.55,-71.704
769.53,-70.693
770.51,-70.592
771.48,-70.881
772.46,-73.053
773.44,-71.367
774.41,-71.759
775.39,-71.214
776.37,-70.509
777.34,-70.509
778.32,-70.996
779.30,-70.279
780.27,-69.922
781.25,-70.308
782.23,-70.731
783.20,-69.933
784.18,-71.532
785.16,-71.025
786.13,-71.816
787.11,-70.387
788.09,-71.917
789.06,-71.188
790.04,-70.563
791.02,-71.663
791.99,-69.716
792.97,-70.689
793.95,-69.603
794.92,-72.324
795.90,-71.317
796.88,-70.381
797.85,-71.175
798.83,-70.641
799.80,-66.972
800.78,-70.978
801.76,-70.820
802.73,-70.745
803.71,-70.014
804.69,-71.439
805.66,-70.908
806.64,-70.157
807.62,-70.746
808.59,-69.901
809.57,-69.491
810.55,-70.055
811.52,-70.771
812.50,-70.343
813.48,-70.368
