Frequency (Hz),FFT Magnitude (dB)
344.73,-74.137
345.70,-73.186
346.68,-72.985
347.66,-72.371
348.63,-72.146
349.61,-74.372
350.59,-73.909
351.56,-73.526
352.54,-72.890
353.52,-73.166
354.49,-72.666
355.47,-72.589
356.45,-72.521
357.42,-72.490
358.40,-72.974
359.38,-72.390
360.35,-72.336
361.33,-72.246
362.30,-72.393
363.28,-72.128
364.26,-71.847
365.23,-72.489
366.21,-70.705
367.19,-71.669
368.16,-72.824
369.14,-71.607
370.12,-72.058
371.09,-73.980
372.07,-72.330
373.05,-72.042
374.02,-73.688
375.00,-72.995
375.98,-72.588
376.95,-73.816
377.93,-73.804
378.91,-73.185
379.88,-72.135
380.86,-72.321
381.84,-72.465
382.81,-72.151
383.79,-72.040
384.77,-73.762
385.74,-72.931
386.72,-72.261
387.70,-72.385
388.67,-73.633
389.65,-72.912
390.62,-72.547
391.60,-71.995
392.58,-74.167
393.55,-72.006
394.53,-72.933
395.51,-71.830
396.48,-72.526
397.46,-71.558
398.44,-72.102
399.41,-72.750
400.39,-71.736
401.37,-72.967
402.34,-72.319
403.32,-73.001
404.30,-72.509
405.27,-72.839
406.25,-71.787
407.23,-72.937
408.20,-72.612
409.18,-72.476
410.16,-72.987
411.13,-73.378
412.11,-72.865
413.09,-72.331
414.06,-72.838
415.04,-72.460
416.02,-72.180
416.99,-72.308
417.97,-72.700
418.95,-72.250
419.92,-73.804
420.90,-71.571
421.88,-71.785
422.85,-71.165
423.83,-72.669
424.80,-72.962
425.78,-72.093
426.76,-71.397
427.73,-73.332
428.71,-72.280
429.69,-72.404
430.66,-72.032
431.64,-72.272
432.62,-72.482
433.59,-71.762
434.57,-71.586
435.55,-72.331
436.52,-73.486
437.50,-72.879
438.48,-72.284
439.45,-70.871
440.43,-71.126
441.41,-71.528
442.38,-71.055
443.36,-72.112
444.34,-72.143
445.31,-70.912
446.29,-70.387
447.27,-71.404
448.24,-69.834
449.22,-72.334
450.20,-70.884
451.17,-70.661
452.15,-71.716
453.12,-71.184
454.10,-71.491
455.08,-70.819
456.05,-70.873
457.03,-71.590
458.01,-71.215
458.98,-70.383
459.96,-70.203
460.94,-71.020
461.91,-71.195
462.89,-71.444
463.87,-69.356
464.84,-70.648
465.82,-70.659
466.80,-71.714
467.77,-70.713
468.75,-69.521
469.73,-70.528
470.70,-70.273
471.68,-69.475
472.66,-71.413
473.63,-70.182
474.61,-71.021
475.59,-69.530
476.56,-70.185
477.54,-70.569
478.52,-69.978
479.49,-70.561
480.47,-70.520
481.45,-69.943
482.42,-70.227
483.40,-70.035
484.38,-71.111
485.35,-69.512
486.33,-70.679
487.30,-70.832
488.28,-70.709
489.26,-70.713
490.23,-69.257
491.21,-69.986
492.19,-69.283
493.16,-68.563
494.14,-69.339
495.12,-69.389
496.09,-69.971
497.07,-70.302
498.05,-68.382
499.02,-68.192
500.00,-67.553
500.98,-68.761
501.95,-68.760
502.93,-67.956
503.91,-69.288
504.88,-69.013
505.86,-69.048
506.84,-68.775
507.81,-68.172
508.79,-67.927
509.77,-67.680
510.74,-68.310
511.72,-68.437
512.70,-67.717
513.67,-67.223
514.65,-67.888
515.62,-67.778
516.60,-67.495
517.58,-68.036
518.55,-68.129
519.53,-66.733
520.51,-67.775
521.48,-66.273
522.46,-66.941
523.44,-67.257
524.41,-68.072
525.39,-67.597
526.37,-66.881
527.34,-66.108
528.32,-67.337
529.30,-67.822
530.27,-65.890
531.25,-66.081
532.23,-65.544
533.20,-63.542
534.18,-67.116
535.16,-67.054
536.13,-65.955
537.11,-66.320
538.09,-65.270
539.06,-64.268
540.04,-65.282
541.02,-64.763
541.99,-66.034
542.97,-65.851
543.95,-64.634
544.92,-64.234
545.90,-65.166
546.88,-64.481
547.85,-65.730
548.83,-64.278
549.80,-63.889
550.78,-64.360
551.76,-64.067
552.73,-64.972
553.71,-64.200
554.69,-64.368
555.66,-65.034
556.64,-63.764
557.62,-63.250
558.59,-63.365
559.57,-62.509
560.55,-62.647
561.52,-63.318
562.50,-63.495
563.48,-64.080
564.45,-61.648
565.43,-62.514
566.41,-61.304
567.38,-62.079
568.36,-62.672
569.34,-61.703
570.31,-62.338
571.29,-61.835
572.27,-62.798
573.24,-61.075
574.22,-61.040
575.20,-61.861
576.17,-60.797
577.15,-61.847
578.12,-61.914
579.10,-60.726
580.08,-61.007
581.05,-58.251
582.03,-60.310
583.01,-60.780
583.98,-60.724
584.96,-60.920
585.94,-61.598
586.91,-60.345
587.89,-58.637
588.87,-60.758
589.84,-60.548
590.82,-61.589
591.80,-60.913
592.77,-59.666
593.75,-60.072
594.73,-60.114
595.70,-59.976
596.68,-59.534
597.66,-60.388
598.63,-60.046
599.61,-59.173
600.59,-60.131
601.56,-61.616
602.54,-60.307
603.52,-61.026
604.49,-59.827
605.47,-59.732
606.45,-59.494
607.42,-60.296
608.40,-60.828
609.38,-59.023
610.35,-60.600
611.33,-60.092
612.30,-60.945
613.28,-60.908
614.26,-61.304
615.23,-60.710
616.21,-60.678
617.19,-60.201
618.16,-62.696
619.14,-60.583
620.12,-62.451
621.09,-60.905
622.07,-61.414
623.05,-62.148
624.02,-61.701
625.00,-62.837
625.98,-62.558
626.95,-62.580
627.93,-62.128
628.91,-62.917
629.88,-64.110
630.86,-63.770
631.84,-63.285
632.81,-63.330
633.79,-62.462
634.77,-61.982
635.74,-63.790
636.72,-63.844
637.70,-63.917
638.67,-65.258
639.65,-63.799
640.62,-63.959
641.60,-64.757
642.58,-64.549
643.55,-64.855
644.53,-64.419
645.51,-64.144
646.48,-63.655
647.46,-65.176
648.44,-65.898
649.41,-64.565
650.39,-63.900
651.37,-65.458
652.34,-65.657
653.32,-65.517
654.30,-65.949
655.27,-65.649
656.25,-66.492
657.23,-66.260
658.20,-65.012
659.18,-67.005
660.16,-65.994
661.13,-65.393
662.11,-65.448
663.09,-66.893
664.06,-67.084
665.04,-66.223
666.02,-66.226
666.99,-65.178
667.97,-69.028
668.95,-68.239
669.92,-67.038
670.90,-66.949
671.88,-67.312
672.85,-66.311
673.83,-67.637
674.80,-67.834
675.78,-67.237
676.76,-67.626
677.73,-67.514
678.71,-67.433
679.69,-68.839
680.66,-67.428
681.64,-68.812
682.62,-68.728
683.59,-68.717
684.57,-67.637
685.55,-67.260
686.52,-68.043
687.50,-69.015
688.48,-67.761
689.45,-68.242
690.43,-68.898
691.41,-67.929
692.38,-69.040
693.36,-68.835
694.34,-69.521
695.31,-69.219
696.29,-69.527
697.27,-69.372
698.24,-69.429
699.22,-69.501
700.20,-68.780
701.17,-69.877
702.15,-69.591
703.12,-68.963
704.10,-69.457
705.08,-70.413
706.05,-70.002
707.03,-70.222
708.01,-70.323
708.98,-70.689
709.96,-69.394
710.94,-69.408
711.91,-70.007
712.89,-69.399
713.87,-70.176
714.84,-70.691
715.82,-69.883
716.80,-71.120
717.77,-70.070
718.75,-71.032
719.73,-71.086
720.70,-70.753
721.68,-71.230
722.66,-71.182
723.63,-69.482
724.61,-71.991
725.59,-71.400
726.56,-69.137
727.54,-71.472
728.52,-71.014
729.49,-71.036
730.47,-70.672
731.45,-69.846
732.42,-70.156
733.40,-70.131
734.38,-71.868
735.35,-70.639
736.33,-70.847
737.30,-71.199
738.28,-71.757
739.26,-70.560
740.23,-70.438
741.21,-71.317
742.19,-71.600
743.16,-71.818
744.14,-71.455
745.12,-71.845
746.09,-70.862
747.07,-70.802
748.05,-71.197
749.02,-70.986
750.00,-71.462
750.98,-72.324
751.95,-71.951
752.93,-71.453
753.91,-71.766
754.88,-71.311
755.86,-72.399
756.84,-72.128
757.81,-71.417
758.79,-71.706
759.77,-71.481
760.74,-71.768
761.72,-73.371
762.70,-71.676
763.67,-72.604
764.65,-72.102
765.62,-72.177
766.60,-72.671
767.58,-73.418
768.55,-72.452
769.53,-72.500
770.51,-71.438
771.48,-71.962
772.46,-72.246
773.44,-72.227
774.41,-71.896
775.39,-72.883
776.37,-71.867
777.34,-71.781
778.32,-72.156
779.30,-72.451
780.27,-72.781
781.25,-72.331
782.23,-72.807
783.20,-72.494
784.18,-71.962
785.16,-73.165
786.13,-72.739
787.11,-72.570
788.09,-73.481
789.06,-72.151
790.04,-72.453
791.02,-72.367
791.99,-73.371
792.97,-74.249
793.95,-73.726
794.92,-72.498
795.90,-72.287
796.88,-73.095
797.85,-72.261
798.83,-72.003
799.80,-67.147
800.78,-71.891
801.76,-73.184
802.73,-73.146
803.71,-72.871
804.69,-72.467
805.66,-72.149
806.64,-73.108
807.62,-72.659
808.59,-73.080
809.57,-72.378
810.55,-72.499
811.52,-73.640
812.50,-73.293
813.48,-73.557
814.45,-73.951
815.43,-73.039
816.41,-74.363
817.38,-73.493
818.36,-73.476
819.34,-72.576
820.31,-73.286
821.29,-73.489
822.27,-73.620
823.24,-73.386
824.22,-74.454
